,question,answer,response,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39,"Solve the problem step by step:

1. Add the number of candies Debby had and the number of candies her sister had to calculate the total number of candies. Let x be the total number of candies,
x = c0 + c1

2. Subtract the number of candies eaten on the first night from the total number of candies to calculate the number of candies left. Let y be the number of candies left,
y = x - c2

3. Format the answer as ""answer = y"" to show the final result.
answer = y","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39,"['x = c0 + c1', 'y = x - c2', 'answer = y']"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8,"Solve the problem step by step:

1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let x be the total number of cats,
x = c0 + c1

2. Subtract the number of cats sold from the total number of cats to calculate the answer.
answer = x - c2","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8,"['x = c0 + c1', 'answer = x - c2']"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2,"Solve the problem step by step:

1. Add the number of games Luke bought from his friend and the number of games he bought at the garage sale to calculate the total number of games. Let x be the total number of games,
x = c0 + c1

2. Subtract the number of games that didn't work from the total number of games to calculate the number of good games. Let y be the number of good games,
y = x - c2

3. Write the final answer format:
answer = y","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2,"['x = c0 + c1', 'y = x - c2', 'answer = y']"
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40,"Solve the problem step by step:

1. Add the number of red apples and the number of green apples to calculate the total number of apples. Let x be the total number of apples,
x = c0 + c1

2. Subtract the number of students who wanted fruit from the total number of apples to calculate the number of extra apples.
extra = x - c2

3. Format the answer as requested:
answer = extra","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40,"['x = c0 + c1', 'extra = x - c2', 'answer = extra']"
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3,"Solve the problem step by step:

1. Add the number of tulips and the number of roses to calculate the total number of flowers picked. Let x be the total number of flowers,
x = c0 + c1

2. Subtract the number of flowers used from the total number of flowers to calculate the number of extra flowers.
answer = x - c2","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3,"['x = c0 + c1', 'answer = x - c2']"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Solve the problem step by step:

1. Add the number of carrots Carol picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1

2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7,"['x = c0 + c1', 'answer = x - c2']"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Solve the problem step by step:

1. Add the amount of money Roger got for his birthday to the amount of money he originally had. Let x be the total amount of money he had after his birthday,
x = c0 + c1

2. Subtract the amount of money he spent on the new game from the total amount of money he had after his birthday to calculate the answer.
answer = x - c2","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19,"['x = c0 + c1', 'answer = x - c2']"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2,"Solve the problem step by step:

1. Add the number of pictures taken at the zoo and the number of pictures taken at the museum to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1

2. Subtract the number of pictures deleted from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2,"['x = c0 + c1', 'answer = x - c2']"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11,"Solve the problem step by step:

1. Add the number of pictures in both coloring books to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1

2. Subtract the number of pictures colored from the total number of pictures to calculate the number of pictures still left to color.
answer = x - c2","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11,"['x = c0 + c1', 'answer = x - c2']"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1,"Solve the problem step by step:

1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1

2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
y = x - c2

3. Simplify the equation to get the answer format.
answer = y","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1,"['x = c0 + c1', 'y = x - c2', 'answer = y']"
